treatment_type,kd_target,target_organelle,target_role,control_type,measured_var,replicate,ctrl_value,trt_value,trt_ctrl_ratio,kd_efficiency,notes,,
siARF1 s1551,ARF1,Golgi,Golgi_to_vesicle,siNT,sFlt1_CM,1,41790.002,16467.602,0.394056023256472,NA,,,
siARF1 s1551,ARF1,Golgi,Golgi_to_vesicle,siNT,sFlt1_lysate,1,NA,NA,NA,NA,,,
siARF1 s1551,ARF1,Golgi,Golgi_to_vesicle,siNT,kd_target,1,23269.927,4495.761,0.193200477165227,0.806799522834773,,,
siARF1 s1551,ARF1,Golgi,Golgi_to_vesicle,siNT,sFlt1_CM,2,38803.567,547.678,0.0141141148183619,NA,,,
siARF1 s1551,ARF1,Golgi,Golgi_to_vesicle,siNT,sFlt1_lysate,2,31603.132,24756.475,0.783355111765505,NA,,,
siARF1 s1551,ARF1,Golgi,Golgi_to_vesicle,siNT,kd_target,2,27423.605,8468.43,0.308800757595509,0.691199242404491,,,
siARF1 s1551,ARF1,Golgi,Golgi_to_vesicle,siNT,sFlt1_CM,3,40693.354,605.678,0.0148839537778085,NA,,,
siARF1 s1551,ARF1,Golgi,Golgi_to_vesicle,siNT,sFlt1_lysate,3,38739.475,26037.785,0.672125396639991,NA,,,
siARF1 s1551,ARF1,Golgi,Golgi_to_vesicle,siNT,kd_target,3,21397.806,7008.146,0.327517036092392,0.672482963907608,,,
siARF1 s1551,ARF1,Golgi,Golgi_to_vesicle,siNT,sFlt1_CM,4,118389.165,85564.86,0.722742321900826,NA,,,
siARF1 s1551,ARF1,Golgi,Golgi_to_vesicle,siNT,sFlt1_lysate,4,44370.366,52360.132,1.18006986915546,NA,,,
siARF1 s1551,ARF1,Golgi,Golgi_to_vesicle,siNT,kd_target,4,NA,NA,NA,NA,,,
siSTX6 #58,STX6,Golgi,Trans_Golgi_tSNARE,siNT,sFlt1_CM,1,22526.463,296.678,0.0131701989788632,NA,,,
siSTX6 #58,STX6,Golgi,Trans_Golgi_tSNARE,siNT,sFlt1_lysate,1,18282.685,1390.648,0.0760636635155066,NA,,,
siSTX6 #58,STX6,Golgi,Trans_Golgi_tSNARE,siNT,kd_target,1,22648.262,268.849,0.0118706238915816,0.988129376108418,,,
siSTX6 #58,STX6,Golgi,Trans_Golgi_tSNARE,siNT,sFlt1_CM,2,7846.744,86.192,0.0109844287006177,NA,,,
siSTX6 #58,STX6,Golgi,Trans_Golgi_tSNARE,siNT,sFlt1_lysate,2,68636.207,34601.312,0.504126225972831,NA,,,
siSTX6 #58,STX6,Golgi,Trans_Golgi_tSNARE,siNT,kd_target,2,28064.655,102.778,0.00366218647619221,0.996337813523808,,,
siSTX6 #58,STX6,Golgi,Trans_Golgi_tSNARE,siNT,sFlt1_CM,3,6826.187,150.607,0.022063122501625,NA,,,
siSTX6 #58,STX6,Golgi,Trans_Golgi_tSNARE,siNT,sFlt1_lysate,3,27020.898,764.234,0.0282830718653392,NA,,,
siSTX6 #58,STX6,Golgi,Trans_Golgi_tSNARE,siNT,kd_target,3,NA,NA,NA,NA,,,
siSTX6 #58,STX6,Golgi,Trans_Golgi_tSNARE,siNT,sFlt1_CM,4,6470.066,314.385,0.0485906944380475,NA,,,
siSTX6 #58,STX6,Golgi,Trans_Golgi_tSNARE,siNT,sFlt1_lysate,4,27516.212,8866.037,0.322211393050759,NA,,,
siSTX6 #58,STX6,Golgi,Trans_Golgi_tSNARE,siNT,kd_target,4,23925.492,37.536,0.00156887055864933,0.998431129441351,,,
siAP1M1,AP1M1,Golgi,Golgi_to_vesicle,siNT,sFlt1_CM,1,29000.676,166.678,0.00574738326789348,NA,,,
siAP1M1,AP1M1,Golgi,Golgi_to_vesicle,siNT,sFlt1_lysate,1,30102.818,15096.371,0.501493614318766,NA,,,
siAP1M1,AP1M1,Golgi,Golgi_to_vesicle,siNT,kd_target,1,39454.395,12002.329,0.304207655446244,0.695792344553756,,,
siAP1M1,AP1M1,Golgi,Golgi_to_vesicle,siNT,sFlt1_CM,2,87892.378,12405.217,0.14114098721962,NA,,,
siAP1M1,AP1M1,Golgi,Golgi_to_vesicle,siNT,sFlt1_lysate,2,61489.014,58423.408,0.950143841955247,NA,,,
siAP1M1,AP1M1,Golgi,Golgi_to_vesicle,siNT,kd_target,2,35913.233,7291.803,0.203039447882623,0.796960552117377,,,
siAP1M1,AP1M1,Golgi,Golgi_to_vesicle,siNT,sFlt1_CM,3,36640.07,12787.246,0.348996221895864,NA,,,
siAP1M1,AP1M1,Golgi,Golgi_to_vesicle,siNT,sFlt1_lysate,3,38263.194,20092.927,0.525124144105691,NA,,,
siAP1M1,AP1M1,Golgi,Golgi_to_vesicle,siNT,kd_target,3,38909.103,9195.631,0.23633623730673,0.76366376269327,,,
siRAB27a s11695,RAB27a,Vesicle,vesicle_tethering,siNT,sFlt1_CM,1,41790.002,1222.062,0.0292429275308482,NA,,,
siRAB27a s11695,RAB27a,Vesicle,vesicle_tethering,siNT,sFlt1_lysate,1,20247.475,14028.161,0.692835081905275,NA,,,
siRAB27a s11695,RAB27a,Vesicle,vesicle_tethering,siNT,kd_target,1,28700.505,3561.548,0.124093565601023,0.875906434398977,,,
siRAB27a s11695,RAB27a,Vesicle,vesicle_tethering,siNT,sFlt1_CM,2,38803.567,2836.962,0.0731108560200149,NA,,,
siRAB27a s11695,RAB27a,Vesicle,vesicle_tethering,siNT,sFlt1_lysate,2,37573.304,6681.208,0.1778179528742,NA,,,
